window_seconds,variant,decoder,room,support,precision_weighted,recall_weighted,f1_weighted,n_folds
1,M2,raw,520,311.0,0.4215422361383766,0.7266881028938906,0.5060607581195705,4.0
1,M2,raw,522,198.0,0.7984471457810259,0.5555555555555555,0.6347470847470847,2.0
1,M2,raw,523,479.0,0.5822275163873514,0.6576200417536534,0.6010267624803455,4.0
1,M2,raw,cafeteria,4862.0,0.435703680583246,0.1762649115590292,0.2283643966458938,4.0
1,M2,raw,cleaning,688.0,0.34729777706936643,0.27180232558139533,0.2895268790831641,4.0
1,M2,raw,hallway,946.0,0.11153458824277458,0.017970401691331923,0.02181546330529941,3.0
1,M2,raw,kitchen,5173.0,0.5457466152709859,0.7494683935820607,0.6223659182852764,4.0
1,M2,raw,nurse station,9363.0,0.8094772481029202,0.7184663035351917,0.7574077223358215,4.0
3,M5,causal_smoothing,501,31.0,0.7425441265976871,0.7741935483870968,0.694901144640999,2.0
3,M5,causal_smoothing,502,37.0,0.832104832104832,0.32432432432432434,0.3974259974259974,2.0
3,M5,causal_smoothing,505,13.0,0.0,0.0,0.0,2.0
3,M5,causal_smoothing,506,121.0,0.6087039342442742,0.8677685950413223,0.7082485600924708,3.0
3,M5,causal_smoothing,508,24.0,0.025490196078431376,0.16666666666666666,0.044217687074829926,2.0
3,M5,causal_smoothing,511,69.0,0.5682433508520466,0.43478260869565216,0.4898780768345986,3.0
3,M5,causal_smoothing,512,134.0,0.8011899959661154,0.8059701492537313,0.7999620435550207,2.0
3,M5,causal_smoothing,513,124.0,0.28243727598566304,0.21774193548387097,0.21346447253705317,3.0
3,M5,causal_smoothing,515,110.0,0.5933014354066987,0.39090909090909093,0.4696571720961965,2.0
3,M5,causal_smoothing,516,9.0,0.07729468599033816,0.4444444444444444,0.1316872427983539,2.0
3,M5,causal_smoothing,517,13.0,0.621978021978022,0.6923076923076923,0.527235921972764,3.0
3,M5,causal_smoothing,518,15.0,0.014414414414414415,0.13333333333333333,0.026016260162601626,3.0
3,M5,causal_smoothing,520,144.0,0.5449950332586001,0.8819444444444444,0.6336647971056527,4.0
