window_seconds,variant,feature,feature_family,mean_abs_shap,fold_std_abs_shap,mean_seed_std_abs_shap,n_folds_selected,n_folds,n_explained
1,M2,rssi_min_B21,rssi_statistics,0.0017368052,0.0020368616,0.0002843886,2,4,2000
1,M2,present_B05,presence,0.0016427939,0.0013637136,0.00033531725,4,4,2000
1,M2,rssi_mean_B11,rssi_statistics,0.0014583404,0.0029166809,0.00015224051,1,4,2000
1,M2,present_B08,presence,0.001408024,0.0006041848,0.00053793733,4,4,2000
1,M2,rssi_mean_B18,rssi_statistics,0.0013915701,0.0027831402,9.516098e-05,1,4,2000
1,M2,present_B19,presence,0.0013493926,0.0011684557,0.00038284055,3,4,2000
1,M2,rssi_median_B07,rssi_statistics,0.0012719206,0.0025438413,0.00014960427,1,4,2000
1,M2,rssi_range_B07,rssi_statistics,0.0011440875,0.002288175,6.129379e-05,1,4,2000
1,M2,rssi_mean_B21,rssi_statistics,0.0011114181,0.0022228363,0.00014476443,1,4,2000
1,M2,present_B10,presence,0.0010954551,0.001399234,0.00022354705,4,4,2000
1,M2,present_B06,presence,0.0010228417,0.0010126015,0.00014616939,4,4,2000
1,M2,present_B22,presence,0.0010027118,0.0007079761,0.00017710183,4,4,2000
1,M2,fp_metric_agreement,fingerprint_similarity,0.00095228304,0.0006750805,0.00029842177,4,4,2000
1,M2,rssi_range_B20,rssi_statistics,0.00086926017,0.0017385203,0.0002420171,1,4,2000
1,M2,rssi_range_B18,rssi_statistics,0.0008266731,0.0016533462,6.813219e-05,1,4,2000
1,M2,present_B18,presence,0.00064615556,0.00031577857,0.00021482742,4,4,2000
1,M2,count_B04,coverage_distribution,0.00055515644,0.0006435231,5.2293864e-05,2,4,2000
1,M2,present_B20,presence,0.0003173522,0.00024717883,0.00021303713,3,4,2000
3,M5,rssi_rel_B19,relative_rssi,0.059108112,0.036028516,0.0019938694,4,4,2000
3,M5,freq_B14,frequency,0.05177666,0.0076714545,0.0025909077,4,4,2000
3,M5,freq_B16,frequency,0.051407415,0.037462335,0.002092091,4,4,2000
3,M5,freq_B17,frequency,0.044371728,0.031875372,0.0013902513,4,4,2000
3,M5,rssi_rel_B04,relative_rssi,0.042911682,0.007081874,0.0016563851,4,4,2000
3,M5,freq_B19,frequency,0.042903155,0.014870942,0.002010011,4,4,2000
3,M5,rssi_rel_B09,relative_rssi,0.042781033,0.012823814,0.001692557,4,4,2000
3,M5,rssi_rel_B08,relative_rssi,0.04199358,0.006093266,0.0018985537,4,4,2000
3,M5,rssi_rel_B23,relative_rssi,0.041941024,0.023601223,0.0023055759,4,4,2000
3,M5,freq_B13,frequency,0.040513616,0.02341088,0.0008019443,4,4,2000
3,M5,fp_l1_second,fingerprint_similarity,0.039609093,0.030203594,0.0011343597,4,4,2000
3,M5,freq_B03,frequency,0.039385162,0.025644196,0.0018576661,4,4,2000
3,M5,fp_cos_margin,fingerprint_similarity,0.038582183,0.017469866,0.0021649662,4,4,2000
3,M5,freq_B15,frequency,0.03821244,0.0245474,0.0016478931,4,4,2000
3,M5,freq_B04,frequency,0.03709379,0.004086081,0.0016475276,4,4,2000
3,M5,rssi_min_B09,rssi_statistics,0.036297992,0.03402867,0.0017884987,4,4,2000
3,M5,fp_cos_second,fingerprint_similarity,0.03618612,0.01865906,0.0013044056,4,4,2000
3,M5,fp_js_margin,fingerprint_similarity,0.031998083,0.009375246,0.0021946426,4,4,2000
3,M5,freq_B08,frequency,0.031944986,0.0030907376,0.0023244787,4,4,2000
3,M5,fp_l1_margin,fingerprint_similarity,0.03173559,0.0135939345,0.0022164725,4,4,2000
3,M5,fp_match_confidence,fingerprint_similarity,0.030266881,0.006943788,0.0010337454,4,4,2000
3,M5,freq_B05,frequency,0.029973632,0.016941106,0.0017339216,4,4,2000
3,M5,fp_cos_best,fingerprint_similarity,0.029776324,0.0112821115,0.0013384257,4,4,2000
3,M5,rssi_max_B09,rssi_statistics,0.02912614,0.011354663,0.0013235686,4,4,2000
3,M5,freq_B02,frequency,0.029120564,0.020377569,0.00094812526,4,4,2000
3,M5,rssi_max_B14,rssi_statistics,0.028676583,0.008910074,0.0016887767,4,4,2000
3,M5,fp_l1_best,fingerprint_similarity,0.027788905,0.010678701,0.0017130363,4,4,2000
3,M5,freq_B12,frequency,0.02693424,0.010673425,0.0010035158,4,4,2000
3,M5,rssi_max_all,rssi_statistics,0.026703604,0.011337781,0.001346561,4,4,2000
3,M5,freq_B23,frequency,0.025958944,0.010197505,0.0014688291,4,4,2000
3,M5,count_B09,coverage_distribution,0.025356766,0.013169799,0.00084374787,4,4,2000
3,M5,rssi_max_B18,rssi_statistics,0.024649385,0.035074588,0.0017089221,4,4,2000
3,M5,freq_B20,frequency,0.023565855,0.014745118,0.0018615451,4,4,2000
3,M5,rssi_range_B14,rssi_statistics,0.02355728,0.0029104943,0.0017679665,4,4,2000
3,M5,rssi_median_B14,rssi_statistics,0.023549426,0.0028471472,0.0018793953,4,4,2000
3,M5,freq_B09,frequency,0.022769252,0.007914225,0.0010317483,4,4,2000
3,M5,rssi_max_B04,rssi_statistics,0.022548318,0.0071498333,0.0011992223,4,4,2000
3,M5,rssi_min_all,rssi_statistics,0.02192088,0.009527177,0.0015205161,4,4,2000
3,M5,rssi_median_B09,rssi_statistics,0.021854088,0.012918043,0.0015407316,4,4,2000
3,M5,freq_B18,frequency,0.021142978,0.009006211,0.0015014524,4,4,2000
3,M5,rssi_mean_all,rssi_statistics,0.019911155,0.0044688922,0.001030694,4,4,2000
3,M5,freq_B11,frequency,0.019661104,0.0088885315,0.000640797,4,4,2000
3,M5,rssi_min_B14,rssi_statistics,0.01954317,0.002861405,0.0018127273,4,4,2000
3,M5,rssi_range_B09,rssi_statistics,0.018941106,0.0072789923,0.00091063656,4,4,2000
3,M5,rssi_max_B19,rssi_statistics,0.018882977,0.013121178,0.0013942624,4,4,2000
3,M5,total_detections,other,0.018854363,0.02272669,0.00051919115,2,4,2000
3,M5,rssi_rel_B07,relative_rssi,0.018513015,0.0041846563,0.0006593073,4,4,2000
3,M5,rssi_median_B18,rssi_statistics,0.018218387,0.028446618,0.0010850357,3,4,2000
3,M5,rssi_rel_B18,relative_rssi,0.0179571,0.0049521215,0.0012375959,4,4,2000
3,M5,rssi_min_B04,rssi_statistics,0.017925588,0.007133404,0.0014572942,4,4,2000
3,M5,freq_B01,frequency,0.017681342,0.007781606,0.00053618744,4,4,2000
3,M5,top2_beacon_rssi,beacon_rank,0.017558511,0.008332145,0.0005853287,4,4,2000
3,M5,freq_B22,frequency,0.016119996,0.008878255,0.0018164277,4,4,2000
3,M5,rssi_median_B04,rssi_statistics,0.016032059,0.005135995,0.0011796432,4,4,2000
3,M5,rssi_rel_B21,relative_rssi,0.015550952,0.020881172,0.00031358562,2,4,2000
3,M5,freq_B21,frequency,0.015236529,0.012364288,0.0006241248,4,4,2000
3,M5,rssi_rel_B22,relative_rssi,0.014822856,0.0107724825,0.0006840393,3,4,2000
3,M5,rssi_min_B05,rssi_statistics,0.014689875,0.020917792,0.0006023601,2,4,2000
3,M5,rssi_min_B19,rssi_statistics,0.013424417,0.004040402,0.0008846695,4,4,2000
3,M5,rssi_min_B08,rssi_statistics,0.013170723,0.003685587,0.0012480732,4,4,2000
3,M5,rssi_range_B04,rssi_statistics,0.013027038,0.005214778,0.00098273,4,4,2000
3,M5,rssi_range_B07,rssi_statistics,0.012525849,0.014295137,0.0006299984,4,4,2000
3,M5,top3_beacon_rssi,beacon_rank,0.012481639,0.00618982,0.0011496469,4,4,2000
3,M5,rssi_median_all,rssi_statistics,0.012119502,0.0066698473,0.0008082213,4,4,2000
3,M5,rssi_mean_B14,rssi_statistics,0.01199661,0.00801513,0.0014862067,3,4,2000
3,M5,rssi_min_B20,rssi_statistics,0.011885987,0.011411905,0.00057006045,3,4,2000
3,M5,freq_B10,frequency,0.011868767,0.0087335585,0.00042953587,4,4,2000
3,M5,rssi_max_B08,rssi_statistics,0.01095069,0.011898101,0.0015778195,3,4,2000
3,M5,rssi_rel_B20,relative_rssi,0.010760186,0.011142626,0.0012968511,3,4,2000
3,M5,rssi_std_all,rssi_statistics,0.010653823,0.012450597,0.0010444119,2,4,2000
3,M5,rssi_range_B19,rssi_statistics,0.010347587,0.007611612,0.00102306,4,4,2000
3,M5,rssi_iqr_all,rssi_statistics,0.010064006,0.0024385334,0.0007513493,4,4,2000
3,M5,freq_B07,frequency,0.009959979,0.0020898746,0.00071707706,4,4,2000
3,M5,rssi_rel_B11,relative_rssi,0.009425358,0.007627082,0.0008740934,3,4,2000
3,M5,rssi_mean_B08,rssi_statistics,0.009009271,0.0077341767,0.001709298,3,4,2000
3,M5,rssi_max_B20,rssi_statistics,0.008866645,0.0076293163,0.00060340203,3,4,2000
3,M5,freq_B06,frequency,0.008866243,0.0037977707,0.00043453855,4,4,2000
3,M5,rssi_mean_B19,rssi_statistics,0.0083875,0.010227872,0.0005599674,2,4,2000
3,M5,count_B16,coverage_distribution,0.007994444,0.015988888,0.00032378914,1,4,2000
3,M5,freq_entropy_norm,coverage_distribution,0.007911415,0.0105744535,0.00082371745,2,4,2000
3,M5,rssi_range_all,rssi_statistics,0.007780264,0.0028915023,0.0006998201,4,4,2000
3,M5,rssi_min_B18,rssi_statistics,0.007377499,0.007897754,0.0013672647,3,4,2000
3,M5,rssi_min_B11,rssi_statistics,0.0073638577,0.008919968,0.0007222935,2,4,2000
3,M5,rssi_median_B19,rssi_statistics,0.0071138227,0.0058083483,0.0006650722,3,4,2000
3,M5,rssi_range_B08,rssi_statistics,0.0070781494,0.002826073,0.0012663065,4,4,2000
3,M5,rssi_median_B08,rssi_statistics,0.0064129136,0.0048059397,0.0010283063,3,4,2000
3,M5,dominant_beacon_freq,other,0.006346164,0.0013981037,0.0006574405,4,4,2000
3,M5,top1_beacon_rssi,beacon_rank,0.006181615,0.01236323,0.00016608053,1,4,2000
3,M5,rssi_rel_B10,relative_rssi,0.006105059,0.0071933637,0.00048297894,2,4,2000
3,M5,count_B04,coverage_distribution,0.0057460777,0.00418872,0.00073238375,4,4,2000
3,M5,rssi_range_B23,rssi_statistics,0.0055659595,0.011131919,0.00059507554,1,4,2000
3,M5,rssi_mean_B05,rssi_statistics,0.005557823,0.0073055276,0.00045065675,2,4,2000
3,M5,rssi_max_B07,rssi_statistics,0.0054810857,0.0026678774,0.0005627112,4,4,2000
3,M5,rssi_max_B05,rssi_statistics,0.0054785036,0.010957007,0.00081215065,1,4,2000
3,M5,rssi_mean_B20,rssi_statistics,0.005463642,0.006389521,0.00057283486,2,4,2000
3,M5,rssi_min_B10,rssi_statistics,0.0046086907,0.005391097,0.00026383303,2,4,2000
3,M5,rssi_mean_B09,rssi_statistics,0.004256652,0.008513304,0.0006489917,1,4,2000
3,M5,rssi_median_B10,rssi_statistics,0.00420707,0.0029368564,0.00046196836,3,4,2000
3,M5,top3_beacon_count,beacon_rank,0.004032411,0.0012325069,0.00039908823,4,4,2000
3,M5,rssi_mean_B18,rssi_statistics,0.003994479,0.0055560307,0.00040780607,2,4,2000
3,M5,rssi_range_B06,rssi_statistics,0.0036167705,0.007233541,0.0003198222,1,4,2000
3,M5,active_beacon_count,coverage_distribution,0.003303584,0.0028584474,0.00061226997,4,4,2000
3,M5,rssi_max_B21,rssi_statistics,0.0029505007,0.0059010014,0.0002601486,1,4,2000
3,M5,rssi_range_B20,rssi_statistics,0.002895744,0.0027019328,0.000965902,3,4,2000
3,M5,rssi_mean_B22,rssi_statistics,0.0027651426,0.005530285,0.00026975563,1,4,2000
3,M5,rssi_min_B07,rssi_statistics,0.0027008886,0.0010528851,0.00061422004,4,4,2000
3,M5,rssi_median_B11,rssi_statistics,0.002593994,0.005187988,0.0001867299,1,4,2000
3,M5,rssi_mad_all,rssi_statistics,0.0025156126,0.00048291677,0.0003781111,4,4,2000
3,M5,rssi_range_B18,rssi_statistics,0.0024601566,0.0032660202,0.00024574454,2,4,2000
3,M5,fp_metric_agreement,fingerprint_similarity,0.002416095,0.0029709397,0.0003849635,4,4,2000
3,M5,rssi_range_B22,rssi_statistics,0.002225292,0.004450584,0.00023217664,1,4,2000
3,M5,rssi_max_B10,rssi_statistics,0.0019919842,0.0039839684,0.00017134906,1,4,2000
3,M5,rssi_median_B20,rssi_statistics,0.0019878696,0.0039757392,0.000454218,1,4,2000
3,M5,rssi_min_B21,rssi_statistics,0.0019349441,0.0038698881,0.00013527976,1,4,2000
3,M5,rssi_median_B07,rssi_statistics,0.0018436364,0.0007904374,0.0005454426,4,4,2000
3,M5,rssi_min_B06,rssi_statistics,0.0018314315,0.003662863,0.00025065365,1,4,2000
3,M5,rssi_mean_B21,rssi_statistics,0.0017193138,0.0034386276,0.00031613724,1,4,2000
3,M5,rssi_mean_B11,rssi_statistics,0.0014975307,0.0029950615,0.00037108894,1,4,2000
3,M5,rssi_rel_B06,relative_rssi,0.0014764803,0.0029529606,0.00022995142,1,4,2000
3,M5,rssi_rel_B05,relative_rssi,0.0014275227,0.0028550455,9.365509e-05,1,4,2000
3,M5,count_B17,coverage_distribution,0.0011253481,0.0022506963,0.00020150498,1,4,2000
3,M5,rssi_median_B23,rssi_statistics,0.0010551006,0.0021102012,0.0002808508,1,4,2000
3,M5,rssi_median_B21,rssi_statistics,0.0009937339,0.0019874678,0.00015179541,1,4,2000
3,M5,dominant_beacon_margin,other,0.0009675452,0.0019350904,7.510775e-05,1,4,2000
3,M5,rssi_mean_B06,rssi_statistics,0.0009446281,0.0018892562,7.780819e-05,1,4,2000
3,M5,rssi_max_B23,rssi_statistics,0.00088423025,0.0017684605,0.00019962534,1,4,2000
3,M5,rssi_mean_B07,rssi_statistics,0.0003835199,0.0007670398,3.3149434e-05,1,4,2000
3,M5,rssi_max_B06,rssi_statistics,0.00027391812,0.00054783624,4.6810175e-05,1,4,2000
