window_seconds,variant,test_day,decoder,true_room,pred_room,count
1,M2,2023-04-10,causal_smoothing,516,501,4
1,M2,2023-04-10,causal_smoothing,516,506,0
1,M2,2023-04-10,causal_smoothing,516,508,0
1,M2,2023-04-10,causal_smoothing,516,511,0
1,M2,2023-04-10,causal_smoothing,516,516,6
1,M2,2023-04-10,causal_smoothing,516,520,0
1,M2,2023-04-10,causal_smoothing,516,523,0
1,M2,2023-04-10,causal_smoothing,516,cafeteria,0
1,M2,2023-04-10,causal_smoothing,516,cleaning,0
1,M2,2023-04-10,causal_smoothing,516,hallway,0
1,M2,2023-04-10,causal_smoothing,516,kitchen,0
1,M2,2023-04-10,causal_smoothing,516,nurse station,0
1,M2,2023-04-10,causal_smoothing,520,501,0
1,M2,2023-04-10,causal_smoothing,520,506,0
1,M2,2023-04-10,causal_smoothing,520,508,9
1,M2,2023-04-10,causal_smoothing,520,511,0
1,M2,2023-04-10,causal_smoothing,520,516,0
1,M2,2023-04-10,causal_smoothing,520,520,26
1,M2,2023-04-10,causal_smoothing,520,523,0
1,M2,2023-04-10,causal_smoothing,520,cafeteria,0
1,M2,2023-04-10,causal_smoothing,520,cleaning,0
1,M2,2023-04-10,causal_smoothing,520,hallway,0
1,M2,2023-04-10,causal_smoothing,520,kitchen,0
1,M2,2023-04-10,causal_smoothing,520,nurse station,0
1,M2,2023-04-10,causal_smoothing,523,501,0
1,M2,2023-04-10,causal_smoothing,523,506,0
1,M2,2023-04-10,causal_smoothing,523,508,2
1,M2,2023-04-10,causal_smoothing,523,511,10
1,M2,2023-04-10,causal_smoothing,523,516,0
1,M2,2023-04-10,causal_smoothing,523,520,8
1,M2,2023-04-10,causal_smoothing,523,523,130
1,M2,2023-04-10,causal_smoothing,523,cafeteria,0
1,M2,2023-04-10,causal_smoothing,523,cleaning,0
1,M2,2023-04-10,causal_smoothing,523,hallway,0
1,M2,2023-04-10,causal_smoothing,523,kitchen,0
1,M2,2023-04-10,causal_smoothing,523,nurse station,1
1,M2,2023-04-10,causal_smoothing,cafeteria,501,0
1,M2,2023-04-10,causal_smoothing,cafeteria,506,15
1,M2,2023-04-10,causal_smoothing,cafeteria,508,12
1,M2,2023-04-10,causal_smoothing,cafeteria,511,26
1,M2,2023-04-10,causal_smoothing,cafeteria,516,0
1,M2,2023-04-10,causal_smoothing,cafeteria,520,28
1,M2,2023-04-10,causal_smoothing,cafeteria,523,28
1,M2,2023-04-10,causal_smoothing,cafeteria,cafeteria,170
1,M2,2023-04-10,causal_smoothing,cafeteria,cleaning,13
1,M2,2023-04-10,causal_smoothing,cafeteria,hallway,2
1,M2,2023-04-10,causal_smoothing,cafeteria,kitchen,1152
1,M2,2023-04-10,causal_smoothing,cafeteria,nurse station,392
1,M2,2023-04-10,causal_smoothing,cleaning,501,0
1,M2,2023-04-10,causal_smoothing,cleaning,506,19
1,M2,2023-04-10,causal_smoothing,cleaning,508,0
1,M2,2023-04-10,causal_smoothing,cleaning,511,0
1,M2,2023-04-10,causal_smoothing,cleaning,516,0
1,M2,2023-04-10,causal_smoothing,cleaning,520,0
1,M2,2023-04-10,causal_smoothing,cleaning,523,0
1,M2,2023-04-10,causal_smoothing,cleaning,cafeteria,0
1,M2,2023-04-10,causal_smoothing,cleaning,cleaning,18
1,M2,2023-04-10,causal_smoothing,cleaning,hallway,1
1,M2,2023-04-10,causal_smoothing,cleaning,kitchen,0
1,M2,2023-04-10,causal_smoothing,cleaning,nurse station,16
1,M2,2023-04-10,causal_smoothing,hallway,501,0
1,M2,2023-04-10,causal_smoothing,hallway,506,3
1,M2,2023-04-10,causal_smoothing,hallway,508,160
1,M2,2023-04-10,causal_smoothing,hallway,511,133
1,M2,2023-04-10,causal_smoothing,hallway,516,47
