window_seconds,variant,test_day,decoder,region,n_samples,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
1,M2,2023-04-13,raw,stable,1819,0.5398570643210555,0.4771915734372285,0.4135356449648356,0.4771915734372285,0.40885563568421707,0.5735448931164948
3,M5,2023-04-10,causal_smoothing,all,2757,0.6361987667754806,0.62598097389195,0.428627288920717,0.62598097389195,0.44350292013347276,0.6123157995761009
3,M5,2023-04-10,causal_smoothing,boundary_15s,726,0.5426997245179064,0.5548161853751229,0.44115440397468636,0.5548161853751229,0.4296241466619773,0.5061307607582474
3,M5,2023-04-10,causal_smoothing,stable,2031,0.6696208764155588,0.6178389722679936,0.460197652585431,0.6178389722679936,0.47496195722176965,0.6560656004890958
3,M5,2023-04-10,fixed_decoder,all,2757,0.6474428726877041,0.5147790015868242,0.48624583133967064,0.5147790015868242,0.4419688569671565,0.6145426067313441
3,M5,2023-04-10,fixed_decoder,boundary_15s,726,0.5151515151515151,0.43998456278256143,0.37223477464705534,0.43998456278256143,0.3756997270111049,0.46229084929897857
3,M5,2023-04-10,fixed_decoder,stable,2031,0.6947316592811423,0.6157527532360396,0.5609081965783519,0.6157527532360396,0.5153601961405911,0.6752901833327939
3,M5,2023-04-10,raw,all,2757,0.5752629669931084,0.5399627426450386,0.3591576851451863,0.5399627426450386,0.37894415246215524,0.558621543031637
3,M5,2023-04-10,raw,boundary_15s,726,0.44352617079889806,0.4651687568208487,0.34587353983759855,0.4651687568208487,0.35987826817713425,0.41881958892934734
3,M5,2023-04-10,raw,stable,2031,0.6223535204332841,0.5766986422288451,0.4212094067312372,0.5766986422288451,0.4328236412180145,0.6144404743991084
3,M5,2023-04-11,causal_smoothing,all,2825,0.6467256637168142,0.6294296609220188,0.5104824102549397,0.6294296609220188,0.5123892822403511,0.668894588646749
3,M5,2023-04-11,causal_smoothing,boundary_15s,373,0.5522788203753352,0.571263365794028,0.5214765824069664,0.571263365794028,0.4837017626644445,0.5453122811771849
3,M5,2023-04-11,causal_smoothing,stable,2452,0.6610929853181077,0.792602798824979,0.6595129526740641,0.792602798824979,0.6559596586433406,0.69203653368776
3,M5,2023-04-11,fixed_decoder,all,2825,0.6842477876106194,0.6196694095236723,0.496774792703058,0.6196694095236723,0.5128699117575891,0.6998796777012143
3,M5,2023-04-11,fixed_decoder,boundary_15s,373,0.6166219839142091,0.5542011658942229,0.5257456482456482,0.5542011658942229,0.470313111807902,0.5902524154463611
3,M5,2023-04-11,fixed_decoder,stable,2452,0.6945350734094616,0.771698053804997,0.6558645686438678,0.771698053804997,0.6601238230652274,0.7178062896788956
3,M5,2023-04-11,raw,all,2825,0.5812389380530973,0.5122563815579799,0.4065881957546526,0.5122563815579799,0.4154481716881385,0.616836319959871
3,M5,2023-04-11,raw,boundary_15s,373,0.4584450402144772,0.49036719203342116,0.43041726131848534,0.49036719203342116,0.4183888943047484,0.4624783427034024
3,M5,2023-04-11,raw,stable,2452,0.5999184339314845,0.4619578306118079,0.410631940832474,0.4619578306118079,0.4089823379255799,0.6451600268294696
3,M5,2023-04-12,causal_smoothing,all,2584,0.5735294117647058,0.5054218046739036,0.42958285483484737,0.5054218046739036,0.40618335588709176,0.534327431736528
3,M5,2023-04-12,causal_smoothing,boundary_15s,502,0.5119521912350598,0.5518650490582813,0.4276900430940441,0.5518650490582813,0.4461890724744457,0.4761700800881612
3,M5,2023-04-12,causal_smoothing,stable,2082,0.5883765609990393,0.5300068019514856,0.49580668018321533,0.5300068019514856,0.4633864947941968,0.5523062720304227
3,M5,2023-04-12,fixed_decoder,all,2584,0.6068111455108359,0.5466518522632704,0.44006862926689405,0.5466518522632704,0.4321737405300968,0.5446605639012486
3,M5,2023-04-12,fixed_decoder,boundary_15s,502,0.5338645418326693,0.5726235398120282,0.43389435834468737,0.5726235398120282,0.4633430490922955,0.47140878881790604
3,M5,2023-04-12,fixed_decoder,stable,2082,0.6243996157540826,0.568636597761115,0.5151963737440158,0.568636597761115,0.4926388780601066,0.563828719320371
3,M5,2023-04-12,raw,all,2584,0.510061919504644,0.4389256130759629,0.36071350398218793,0.4389256130759629,0.3459350537684731,0.4951382755773876
3,M5,2023-04-12,raw,boundary_15s,502,0.45219123505976094,0.49062131528134056,0.4140069262974088,0.49062131528134056,0.37902988348328087,0.42866170392619984
3,M5,2023-04-12,raw,stable,2082,0.5240153698366955,0.44297307613800546,0.421845867364233,0.44297307613800546,0.3999234692999029,0.5162691378634411
3,M5,2023-04-13,causal_smoothing,all,1085,0.6276497695852534,0.5408965344388442,0.4472088465071305,0.5408965344388442,0.4484457236425723,0.6476671492078458
3,M5,2023-04-13,causal_smoothing,boundary_15s,304,0.5789473684210527,0.5366096164372027,0.383047311046087,0.5366096164372027,0.3783714590758575,0.5722475850963429
3,M5,2023-04-13,causal_smoothing,stable,781,0.646606914212548,0.6455967682271404,0.5329882476313978,0.6455967682271404,0.5449612051501203,0.6768643667700441
3,M5,2023-04-13,fixed_decoder,all,1085,0.7557603686635944,0.5419375127190272,0.5017770308933099,0.5419375127190272,0.5056501862153345,0.7553961900619003
3,M5,2023-04-13,fixed_decoder,boundary_15s,304,0.5921052631578947,0.46828259862742616,0.3807715466830324,0.46828259862742616,0.3761721992491224,0.5777308070071228
